school;sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3
GP;F;*;U;GT3;A;4;4;at_home;teacher;course;*;2;2;0;yes;no;no;no;yes;yes;no;no;3.0-5.0;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;3.0-5.0;6;5;6;6
GP;F;*;U;GT3;T;1;1;at_home;other;course;*;1;2;0;no;yes;yes;no;no;yes;yes;no;;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;3.0-5.0;4;5;5;6
GP;F;*;U;LE3;T;1;1;at_home;other;other;*;1;2;3;yes;no;yes;no;yes;yes;yes;no;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;3.0-5.0;3.0-5.0;10;7;8;10
GP;F;*;U;GT3;T;4;2;health;services;home;*;1;3;0;no;yes;yes;yes;yes;yes;yes;yes;3.0-5.0;1.0-3.0;1.0-3.0;1.0-3.0;1.0-3.0;;2;15;14;15
GP;F;*;U;GT3;T;3;3;other;other;home;*;1;2;0;no;yes;no;no;yes;yes;no;no;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;1.0-3.0;;4;6;10;10
GP;M;*;U;LE3;T;4;3;services;other;reputation;*;1;2;0;no;yes;yes;yes;yes;yes;yes;no;;3.0-5.0;1.0-3.0;1.0-3.0;1.0-3.0;;10;15;15;15
GP;M;*;U;LE3;T;2;2;other;other;home;*;1;2;0;no;no;no;no;yes;yes;yes;no;3.0-5.0;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;3.0-5.0;0;12;12;11
GP;F;*;U;GT3;A;4;4;other;teacher;home;*;2;2;0;yes;yes;no;no;yes;yes;no;no;3.0-5.0;1.0-3.0;3.0-5.0;1.0-3.0;1.0-3.0;1.0-3.0;6;6;5;6
GP;M;*;U;LE3;A;3;2;services;other;home;*;1;2;0;no;yes;no;no;yes;yes;yes;no;3.0-5.0;1.0-3.0;1.0-3.0;1.0-3.0;1.0-3.0;1.0-3.0;0;16;18;19
GP;M;*;U;GT3;T;3;4;other;other;home;*;1;2;0;no;yes;no;yes;yes;yes;yes;no;;;1.0-3.0;1.0-3.0;1.0-3.0;;0;14;15;15
