antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
Medu,Fedu,0.5822784810126582,0.4962025316455696,0.42025316455696204,0.7217391304347827,1.4545252883762203,0.13132510815574433,1.8105221518987347,0.748083242059146
Fedu,Medu,0.4962025316455696,0.5822784810126582,0.42025316455696204,0.8469387755102041,1.45452528837622,0.13132510815574433,2.7291139240506337,0.6202700248229099
Medu,G1,0.5822784810126582,0.41265822784810124,0.2708860759493671,0.4652173913043478,1.127367297946119,0.03060406986059927,1.098281362560461,0.2704616256018126
G1,Medu,0.41265822784810124,0.5822784810126582,0.2708860759493671,0.656441717791411,1.127367297946119,0.03060406986059927,1.2158679927667269,0.19235417338059946
Medu,G2,0.5822784810126582,0.6303797468354431,0.39746835443037976,0.682608695652174,1.0828531517373843,0.030411792981893948,1.1645569620253167,0.183169272341247
G2,Medu,0.6303797468354431,0.5822784810126582,0.39746835443037976,0.6305220883534136,1.0828531517373843,0.030411792981893948,1.130572372041827,0.20700636942675177
Medu,G3,0.5822784810126582,0.529113924050633,0.3367088607594937,0.5782608695652174,1.092885375494071,0.02861720878064411,1.1165339945191177,0.20346320346320335
G3,Medu,0.529113924050633,0.5822784810126582,0.3367088607594937,0.6363636363636364,1.092885375494071,0.02861720878064411,1.1487341772151898,0.1804915514592933
Fedu,G1,0.4962025316455696,0.41265822784810124,0.22025316455696203,0.4438775510204082,1.0756541880555905,0.015491107194359893,1.0561374985483687,0.13960607635880565
G1,Fedu,0.41265822784810124,0.4962025316455696,0.22025316455696203,0.5337423312883436,1.0756541880555905,0.015491107194359893,1.0805129913391074,0.11974831549742382
G2,Fedu,0.6303797468354431,0.4962025316455696,0.3493670886075949,0.5542168674698794,1.1169166461765427,0.03657106232975482,1.1301402668491274,0.28320428826682537
Fedu,G2,0.4962025316455696,0.6303797468354431,0.3493670886075949,0.7040816326530612,1.116916646176543,0.03657106232975482,1.2490615451767786,0.20777802053746983
Fedu,G3,0.4962025316455696,0.529113924050633,0.28860759493670884,0.5816326530612245,1.0992578849721706,0.02605992629386311,1.1255325717814137,0.17922948073701808
G3,Fedu,0.529113924050633,0.4962025316455696,0.28860759493670884,0.5454545454545454,1.0992578849721706,0.02605992629386311,1.1083544303797468,0.19175627240143334
G2,G1,0.6303797468354431,0.41265822784810124,0.41012658227848103,0.6506024096385542,1.5766132012713432,0.14999519307803238,1.6810126582278482,0.9894723490613904
G1,G2,0.41265822784810124,0.6303797468354431,0.41012658227848103,0.9938650306748468,1.5766132012713432,0.14999519307803238,60.24810126582422,0.6226851851851852
G3,G1,0.529113924050633,0.41265822784810124,0.4050632911392405,0.7655502392344496,1.8551677576540344,0.18672007691075146,2.5051924567295263,0.9789314516129032
G1,G3,0.41265822784810124,0.529113924050633,0.4050632911392405,0.9815950920245399,1.8551677576540346,0.18672007691075146,25.58481012658227,0.784832974137931
G2,G3,0.6303797468354431,0.529113924050633,0.5215189873417722,0.8273092369477911,1.5635748736573085,0.1879762858516263,2.7267589049161014,0.9751629206011436
G3,G2,0.529113924050633,0.6303797468354431,0.5215189873417722,0.985645933014354,1.5635748736573085,0.1879762858516263,25.750210970464,0.7654504645578869
"Medu, G2",Fedu,0.39746835443037976,0.4962025316455696,0.2936708860759494,0.7388535031847134,1.4890159885610297,0.09644608235859639,1.929175671503551,0.5450594030715735
"Medu, Fedu",G2,0.42025316455696204,0.6303797468354431,0.2936708860759494,0.6987951807228916,1.1085305075724585,0.02875180259573784,1.227139240506329,0.16887516940219835
"G2, Fedu",Medu,0.3493670886075949,0.5822784810126582,0.2936708860759494,0.8405797101449276,1.4436042848141148,0.09024194840570424,2.620253164556963,0.4722930363611969
Medu,"G2, Fedu",0.5822784810126582,0.3493670886075949,0.2936708860759494,0.5043478260869565,1.4436042848141146,0.09024194840570424,1.3126804352653787,0.7356321839080461
G2,"Medu, Fedu",0.6303797468354431,0.42025316455696204,0.2936708860759494,0.46586345381526106,1.1085305075724585,0.02875180259573784,1.0853906919196725,0.26487954652810564
Fedu,"Medu, G2",0.4962025316455696,0.39746835443037976,0.2936708860759494,0.5918367346938775,1.4890159885610295,0.09644608235859639,1.4762025316455696,0.651880090105701
