support,itemsets
0.2810126582278481,age
0.33164556962025316,Medu
0.4962025316455696,Fedu
0.3493670886075949,traveltime
0.23291139240506328,studytime
0.21012658227848102,failures
0.2683544303797468,famrel
0.3924050632911392,freetime
0.3518987341772152,goout
0.3012658227848101,Dalc
0.40253164556962023,Walc
0.369620253164557,health
0.3822784810126582,absences
0.41265822784810124,G1
0.4253164556962025,G2
0.41012658227848103,G3
0.1240506329113924,"Fedu, age"
0.1189873417721519,"traveltime, age"
0.10632911392405063,"failures, age"
0.11139240506329114,"freetime, age"
0.11392405063291139,"goout, age"
0.11645569620253164,"Walc, age"
0.13164556962025317,"absences, age"
0.10632911392405063,"G1, age"
0.27848101265822783,"Fedu, Medu"
0.14177215189873418,"freetime, Medu"
0.12151898734177215,"Medu, goout"
0.10126582278481013,"Medu, Dalc"
0.12151898734177215,"Walc, Medu"
0.1189873417721519,"health, Medu"
0.13670886075949368,"absences, Medu"
0.1670886075949367,"G1, Medu"
0.17468354430379746,"Medu, G2"
0.17721518987341772,"Medu, G3"
0.14177215189873418,"traveltime, Fedu"
0.11645569620253164,"studytime, Fedu"
0.13670886075949368,"famrel, Fedu"
0.1848101265822785,"freetime, Fedu"
0.17974683544303796,"Fedu, goout"
0.14177215189873418,"Fedu, Dalc"
0.19746835443037974,"Walc, Fedu"
0.1848101265822785,"health, Fedu"
0.19240506329113924,"absences, Fedu"
0.22025316455696203,"G1, Fedu"
0.23291139240506328,"Fedu, G2"
0.22784810126582278,"Fedu, G3"
0.13924050632911392,"freetime, traveltime"
0.12658227848101267,"traveltime, goout"
0.11392405063291139,"traveltime, Dalc"
0.14430379746835442,"Walc, traveltime"
0.1189873417721519,"health, traveltime"
0.13164556962025317,"absences, traveltime"
0.12658227848101267,"G1, traveltime"
0.12151898734177215,"traveltime, G2"
0.12151898734177215,"traveltime, G3"
0.12151898734177215,"G1, studytime"
0.1240506329113924,"studytime, G2"
0.1189873417721519,"studytime, G3"
0.10632911392405063,"freetime, failures"
0.10126582278481013,"failures, goout"
0.10379746835443038,"Walc, failures"
0.10632911392405063,"absences, failures"
0.1240506329113924,"freetime, famrel"
0.10886075949367088,"health, famrel"
0.11139240506329114,"G1, famrel"
0.1189873417721519,"famrel, G2"
0.12658227848101267,"famrel, G3"
0.20506329113924052,"freetime, goout"
0.1518987341772152,"freetime, Dalc"
0.19746835443037974,"Walc, freetime"
0.17468354430379746,"health, freetime"
0.16962025316455695,"absences, freetime"
0.17468354430379746,"G1, freetime"
0.17468354430379746,"freetime, G2"
0.16962025316455695,"freetime, G3"
0.15949367088607594,"goout, Dalc"
0.22531645569620254,"Walc, goout"
0.1341772151898734,"health, goout"
0.1569620253164557,"absences, goout"
0.10886075949367088,"G1, goout"
0.12151898734177215,"G2, goout"
0.10886075949367088,"G3, goout"
0.2481012658227848,"Walc, Dalc"
0.13670886075949368,"health, Dalc"
0.13924050632911392,"absences, Dalc"
0.11139240506329114,"G2, Dalc"
0.10126582278481013,"G3, Dalc"
0.1670886075949367,"Walc, health"
0.19240506329113924,"Walc, absences"
0.13924050632911392,"Walc, G1"
0.1518987341772152,"Walc, G2"
0.14177215189873418,"Walc, G3"
0.13164556962025317,"absences, health"
0.1620253164556962,"health, G1"
0.17468354430379746,"health, G2"
0.1569620253164557,"health, G3"
0.14936708860759493,"absences, G1"
0.1518987341772152,"absences, G2"
0.1468354430379747,"absences, G3"
0.36455696202531646,"G1, G2"
0.3569620253164557,"G1, G3"
0.38734177215189874,"G2, G3"
0.12151898734177215,"Fedu, freetime, Medu"
0.11139240506329114,"Fedu, Medu, goout"
0.11392405063291139,"absences, Fedu, Medu"
0.13670886075949368,"Fedu, Medu, G1"
0.14430379746835442,"Fedu, Medu, G2"
0.1468354430379747,"Fedu, Medu, G3"
0.1518987341772152,"G1, Medu, G2"
0.1518987341772152,"G1, Medu, G3"
0.1670886075949367,"Medu, G2, G3"
0.11645569620253164,"Walc, Fedu, goout"
0.11392405063291139,"Walc, Fedu, Dalc"
0.10126582278481013,"Walc, Fedu, absences"
0.19746835443037974,"G1, Fedu, G2"
0.19240506329113924,"G1, Fedu, G3"
0.21265822784810126,"Fedu, G2, G3"
0.10632911392405063,"G1, traveltime, G2"
0.10632911392405063,"G1, traveltime, G3"
0.11139240506329114,"traveltime, G2, G3"
0.11139240506329114,"G1, studytime, G2"
0.11139240506329114,"G1, studytime, G3"
0.11645569620253164,"studytime, G2, G3"
0.10886075949367088,"G1, famrel, G2"
0.11139240506329114,"G1, famrel, G3"
0.1189873417721519,"famrel, G3, G2"
0.10379746835443038,"freetime, goout, Dalc"
0.14430379746835442,"Walc, freetime, goout"
0.13924050632911392,"Walc, freetime, Dalc"
0.10379746835443038,"Walc, health, freetime"
0.1569620253164557,"G1, freetime, G2"
0.15443037974683543,"G1, freetime, G3"
0.1620253164556962,"freetime, G3, G2"
0.1518987341772152,"Walc, goout, Dalc"
0.11392405063291139,"Walc, goout, absences"
0.10632911392405063,"G2, goout, G3"
0.10886075949367088,"Walc, health, Dalc"
0.12151898734177215,"Walc, absences, Dalc"
0.12151898734177215,"Walc, G1, G2"
0.1189873417721519,"Walc, G1, G3"
0.13164556962025317,"Walc, G2, G3"
0.14936708860759493,"health, G1, G2"
0.13670886075949368,"health, G1, G3"
0.1518987341772152,"health, G2, G3"
0.12151898734177215,"absences, G1, G2"
0.1240506329113924,"absences, G1, G3"
0.13924050632911392,"absences, G2, G3"
0.34430379746835443,"G1, G2, G3"
0.1240506329113924,"Fedu, Medu, G2, G1"
0.1240506329113924,"Fedu, Medu, G3, G1"
0.13670886075949368,"Fedu, Medu, G2, G3"
0.14936708860759493,"G1, Medu, G2, G3"
0.18734177215189873,"G1, Fedu, G2, G3"
0.10886075949367088,"G1, studytime, G2, G3"
0.10886075949367088,"G1, famrel, G3, G2"
0.10126582278481013,"Walc, freetime, goout, Dalc"
0.14936708860759493,"G1, freetime, G3, G2"
0.11392405063291139,"Walc, G1, G2, G3"
0.1341772151898734,"health, G1, G2, G3"
0.11645569620253164,"absences, G1, G2, G3"
0.12151898734177215,"G1, Medu, G3, Fedu, G2"
