support,itemsets
0.33164556962025316,Medu
0.4962025316455696,Fedu
0.3493670886075949,traveltime
0.23291139240506328,studytime
0.21012658227848102,failures
0.3822784810126582,absences
0.41265822784810124,G1
0.4253164556962025,G2
0.41012658227848103,G3
0.27848101265822783,"Fedu, Medu"
0.13670886075949368,"absences, Medu"
0.1670886075949367,"G1, Medu"
0.17468354430379746,"Medu, G2"
0.17721518987341772,"Medu, G3"
0.14177215189873418,"Fedu, traveltime"
0.11645569620253164,"studytime, Fedu"
0.19240506329113924,"absences, Fedu"
0.22025316455696203,"G1, Fedu"
0.23291139240506328,"Fedu, G2"
0.22784810126582278,"Fedu, G3"
0.13164556962025317,"absences, traveltime"
0.12658227848101267,"G1, traveltime"
0.12151898734177215,"traveltime, G2"
0.12151898734177215,"traveltime, G3"
0.12151898734177215,"studytime, G1"
0.1240506329113924,"studytime, G2"
0.1189873417721519,"studytime, G3"
0.10632911392405063,"absences, failures"
0.14936708860759493,"absences, G1"
0.1518987341772152,"absences, G2"
0.1468354430379747,"absences, G3"
0.36455696202531646,"G1, G2"
0.3569620253164557,"G1, G3"
0.38734177215189874,"G2, G3"
0.11392405063291139,"absences, Fedu, Medu"
0.13670886075949368,"G1, Fedu, Medu"
0.14430379746835442,"Fedu, Medu, G2"
0.1468354430379747,"Fedu, Medu, G3"
0.1518987341772152,"G1, Medu, G2"
0.1518987341772152,"G1, Medu, G3"
0.1670886075949367,"Medu, G2, G3"
0.19746835443037974,"G1, Fedu, G2"
0.19240506329113924,"G1, Fedu, G3"
0.21265822784810126,"Fedu, G2, G3"
0.10632911392405063,"G1, traveltime, G2"
0.10632911392405063,"G1, traveltime, G3"
0.11139240506329114,"traveltime, G2, G3"
0.11139240506329114,"studytime, G1, G2"
0.11139240506329114,"studytime, G1, G3"
0.11645569620253164,"studytime, G2, G3"
0.12151898734177215,"absences, G1, G2"
0.1240506329113924,"absences, G1, G3"
0.13924050632911392,"absences, G2, G3"
0.34430379746835443,"G1, G2, G3"
0.1240506329113924,"G1, Fedu, Medu, G2"
0.1240506329113924,"G1, Fedu, Medu, G3"
0.13670886075949368,"Fedu, Medu, G2, G3"
0.14936708860759493,"G1, Medu, G2, G3"
0.18734177215189873,"G1, Fedu, G2, G3"
0.10886075949367088,"studytime, G1, G2, G3"
0.11645569620253164,"absences, G1, G2, G3"
0.12151898734177215,"G1, Fedu, G3, G2, Medu"
